,year,id,journal,authors,title
60,1992,A25,Nucl. Phys. Proc. Suppl.,Cappelli,Classical Dynamics of Point Particles in 2+1 Gravity
61,1991,B273,Phys.Lett.,Cappelli & Ciafaloni & Valtancoli,Classical Scattering in 2+1 Gravity with N Spinning Sources
62,1992,B373,Nucl. Phys.,Govaerts & Morozov,Universal Field Equations with Covariant Solutions D.B. Fairlie
63,1992,B277,Phys. Lett.,Burroughs & de Groot & Hollowood & Miramontes,Generalized W-algebras and Integrable Hierarchies
64,1992,B379,Nucl.Phys.,Burroughs,Coadjoint Orbits of the Generalised Sl(2) Sl(3) Kdv Hierarchies
65,1993,B392,Nucl. Phys.,Lewellen,Effective String Amplitudes for Hadronic Physics
66,1992,B277,Phys. Lett.,Matsuo,Classical W-symmetry and Grassmannian Manifold
67,1992,B274,Phys. Lett.,Gervais & Matsuo,W-Geometries
68,1992,B382,Nucl. Phys.,Li,Correlators of Special States in c=1 Liouville Theory
69,1992,B274,Phys. Lett.,Ferreira & Gomes & Schwimmer & Zimerman,Comments on Two-Loop Kac-Moody Algebras
70,1992,B274,Phys. Lett.,Bershadsky & Kutasov,Open String Theory in 1+1 Dimensions
71,1992,B372,Nucl.Phys.,Linde,Hard Art of the Universe Creation
72,1992,B380,Nucl. Phys.,Ghoshal & Sen,Gauge and General Coordinate Invariance in Non-Polynomial Closed String  Field Theory
73,1992,B276,Phys. Lett.,Hwang,"Cosets as gauge slices in SU(1,1) strings"
74,1992,B275,Phys. Lett.,Kobayashi & Uematsu,S-matrix of N=2 Supersymmetric Sine-Gordon Theory
75,1992,A7,Int. J. Mod. Phys.,Kimura,"Hamiltonian Reduction of Super Osp(1,2)} and Sl(2,1) Kac-Moody Algebras"
76,1992,B374,Nucl.Phys.,Callan & Freed,Phase Diagram of the Dissipative Hofstadter Model
77,1993,B400,Nucl. Phys.,Klassen & Melzer,Rg Flows in the $D$-Series of Minimal Cfts
78,1992,B372,Nucl. Phys.,Mezincescu & Nepomechie,Analytical Bethe Ansatz for Quantum-Algebra-Invariant Spin Chains
79,1992,A25,Nucl. Phys. Proc. Suppl.,Miramontes & Guillen,Instantons in the Quantum Framework of 2D Gravity
80,1991,B367,Nucl.Phys.,Argyres & Grochocinski & Tye,Structure Constants of the Fractional Supersymmetry Chiral Algebras
81,1992,B373,Nucl.Phys.,Rocek & Verlinde,"Duality, Quotients, and Currents"
82,1992,A7,Mod.Phys.Lett.,Bars & Sfetsos,Generalized Duality and Singular Strings in Higher Dimensions
83,1992,B380,Nucl.Phys.,Nemeschansky & Warner,"Topological Matter, Integrable Models and Fusion Rings"
84,1992,B374,Nucl.Phys.,Dorey,Root Systems and Purely Elastic S-Matrices II
85,1992,A7,Int. J. Mod. Phys.,Vazquez-Bello,On the Covariant Quantization of the 2nd-Ilk Superparticle
86,1992,A7,Int. J. Mod. Phys.,Kneipp,Generalised Abelian Chern-Simons Theories and their Connection to  Conformal Field Theories
87,1993,B393,Nucl.Phys.,Crescimanno,Fusion Potentials for G_k and Handle Squashing
88,1992,B277,Phys. Lett.,Polychronakos,New Integrable Systems from Unitary Matrix Models
89,1992,B278,Phys. Lett.,Horava,Some Exact Solutions of String Theory in Four and Five Dimensions
90,1992,A7,Mod. Phys. Lett.,Tanii & Yamaguchi,Two-Dimensional Quantum Gravity on a Disk
91,1993,B395,Nucl.Phys.,Alvarez & Labastida,Analysis of Observables in Chern-Simons Perturbation Theory
92,1992,B274,Phys.Lett.,Pesando & Tollsten,Heterotic instantons and solitons in anomaly-free supergravity
93,1992,B379,Nucl. Phys.,Ishibashi,Extra Observables in Gauged WZW Models
94,1992,A7,Int. J. Mod. Phys.,Balachandran & Bimonte & Gupta & Stern,Conformal Edge Currents in Chern-Simons Theories
95,1992,B274,Phys. Lett.,de Boer & Goeree,The Covariant W_3 Action
96,1992,B275,Phys.Lett.,Hinrichsen & Rittenberg,A Two Parameter Deformation of the SU(1/1) Superalgebra and the XY  Quantum Chain in a Magnetic Field
97,1992,B376,Nucl. Phys.,Parkes,"On N=2 strings and classical scattering solutions of self-dual  Yang-Mills in (2,2) spacetime"
98,1992,A7,Mod. Phys. Lett.,Eguchi,Topological Field Theories and Space-Time Singularity
99,1992,B379,Nucl. Phys.,Lu & Pope & Wang & Xu,Anomaly Freedom and Realisations for Super-$W_3$ Strings
100,1992,B279,Phys. Lett.,Yang,A Remark on Conformal Anomaly and Extrinsic Geometry of Random Surfaces
101,1992,B382,Nucl. Phys.,Saleur,Polymers and percolation in two dimensions and twisted N=2 supersymmetry
102,1992,B382,Nucl. Phys.,Saleur,Geometrical Lattice models for N=2 supersymmetric theories in two  dimensions
103,1992,B275,Phys. Lett.,Kallosh,Geometry of Scattering at Planckian Energies
104,1992,B278,Phys.Lett.,Jonsson,Intrinsic and extrinsic geometry of random surfaces
105,1992,B378,Nucl. Phys.,Minahan,Flows and Solitary Waves in Unitary Matrix Models with Logarithmic  Potentials
106,1992,B372,Nucl.Phys.,Fendley & Intriligator,Scattering and Thermodynamics of Fractionally-Charged Supersymmetric  Solitons
107,1992,A7,Mod. Phys. Lett.,Haagensen,Differential Renormalization of the Wess-Zumino Model
108,1992,A7,Int. J. Mod. Phys.,Aldazabal & Allekotte & Font & Nunez,N=2 Coset Compactifications with Non-Diagonal Invariants
109,1992,A7,Mod. Phys. Lett.,Bourdeau & Mlawer & Riggs & Schnitzer,Topological Landau-Ginzburg Matter from Sp(N)_{K} Fusion Rings
110,1992,A7,Mod. Phys. Lett.,Das & Dhar & Mandal & Wadia,Bosonization of Nonrelativistic Fermions and W-infinity Algebra
111,1992,A25,J.Phys.,Cardy,Critical Percolation in Finite Geometries
112,1992,B6,Int. J. Mod. Phys.,Caselle & Ponzano & Ravanini,Towards a Classification of Fusion Rule Algebras in Rational Conformal  Field Theories
113,1992,A7,Mod. Phys. Lett.,Avan & Jevicki,String field actions from W-infinity
114,1992,B278,Phys. Lett.,Evans & Giannakis,Isolated States and the Classical Phase Spase of 2-d String Theory
115,1992,L21,Class. Quant. Grav.,D'adda,Comments on Supersymmetric Vector and Matrix Models
116,1992,B276,Phys.Lett.,Ellis & Mavromatos & Nanopoulos,On the Evaporation of Black Holes in String Theory
117,1992,B276,Phys.Lett.,Spence,W-Algebra Symmetries of Generalised Drinfel'd-Sokolov Hierarchies
118,1992,A7,Int. J. Mod. Phys.,Yost,Supermatrix Models
119,1992,B377,Nucl.Phys.,Moore & Plesser & Ramgoolam,Exact S-Matrix for 2D String Theory
120,1992,B275,Phys. Lett.,Kharchev & Marshakov & Mironov & Morozov & Zabrodin,Unification of All String Models with $c<1$
121,1992,B375,Nucl. Phys.,McGuigan & Nappi & Yost,Charged Black Holes in Two-Dimensional String Theory
122,1992,B277,Phys. Lett.,Bars & Sfetsos,A Superstring Theory in Four Curved Space-Time Dimensions
123,1992,A7,Int.J.Mod.Phys.,Tjin,An introduction to quantized Lie groups and algebras
124,1992,B281,Phys. Lett.,Mohammedi,Modified Black Holes in Two Dimensional Gravity
125,1992,A7,Int. J. Mod. Phys.,Depireux & Mathieu,On the classical $W_N^{(l)}$ algebras
126,1992,B281,Phys. Lett.,Bienkowska,The generalized no-ghost theorem for N=2 SUSY critical strings
127,1992,B275,Phys.Lett.,Yoshii,On Moduli Space of C=0 Topological Conformal Field Theories
128,1992,D45,Phys.Rev.,Callan & Giddings & Harvey & Strominger,Evanescent Black Holes
129,1992,A7,Int.J.Mod.Phys.,Odake,Unitary Representations of $W$ Infinity Algebras
130,1992,B278,Phys. Lett.,Gomis & Suzuki,N=2 String as a Topological Conformal Algebra
131,1992,B277,Phys. Lett.,Caselle & Gliozzi,Self-avoiding effective strings in lattice gauge theories
132,1992,A7,Int.J.Mod.Phys.,Ahn,c=5/2 Free Fermion Model of WB_{2} Algebra
133,1992,B379,Nucl. Phys.,Bowcock & Watts,On the classification of quantum W-algebras
134,1992,B380,Nucl.Phys.,Kaul & Govindarajan,Three Dimensional Chern-Simons Theory as a Theory of Knots and Links
135,1992,A7,Mod. Phys. Lett.,Dalley,On Loop Equations In KdV Exactly Solvable String Theory
136,1993,D1,Int.J.Mod.Phys.,Raiten,Perturbations of a Stringy Black Hole
137,1993,B390,Nucl.Phys.,Schmidhuber,Path Integral Over Conformally Self-Dual Geometries
138,1992,B277,Phys.Lett.,Schellekens,Classification of Ten-Dimensional Heterotic Strings
139,1992,B277,Phys.Lett.,Delius & Grisaru & Zanon,Exact s-Matrices for the Nonsimply-Laced Affine Toda Theories  $a_{2n-1}^{(2)}$
140,1992,D45,Phys.Rev.,Lee & Nair & Weinberg,Black Holes in Magnetic Monopoles
141,1992,B379,Nucl. Phys.,Marcus & Oz & Yankielowicz,"Harmonic Space, Self-Dual Yang Mills and the $N=2$ String"
142,1992,B287,Phys. Lett.,Kalara & Lopez & Nanopoulos,Modular invariance and nonrenormalizable interactions
143,1992,B284,Phys. Lett.,Lu & Pope & Wang & Xu,"N=2 Superstrings with (1,2m) Spacetime Signature"
144,1992,B376,Nucl. Phys.,Dienes & Tye,Model-Building for Fractional Superstrings
145,1992,A7,Int.J.Mod.Phys.,Miramontes & Guillen,Universality and Non-Perturbative Definitions of 2D Quantum Gravity from  Matrix Models
146,1992,A7,Int.J.Mod.Phys.,Alvarez-Gaume & Itoyama & Manes & Zadra,Superloop Equations and Two Dimensional Supergravity
147,1992,B277,Phys. Lett.,Jackiw & Kabat & Ortiz,Electromagnetic fields of a massless particle and the eikonal
148,1992,A7,Int.J.Mod.Phys.,Wong,Recursion relations in semirigid topological gravity
149,1993,A8,Mod. Phys. Lett.,Ghoshal & Mahapatra,Three-Point Functions of Non-Unitary Minimal Matter Coupled to Gravity
150,1992,B380,Nucl. Phys.,Lassig,Multiple Crossover Phenomena and Scale Hopping in Two Dimensions
151,1992,A7,Mod.Phys.Lett.,Govindarajan & Jayaraman & John & Majumdar,States of non-zero ghost number in $c<1$ matter coupled to 2d gravity
152,1992,B277,Phys. Lett.,Bastianelli,A Novel Chiral Boson
153,1992,B376,Nucl. Phys.,Bastianelli,The Path Integral for a Particle in Curved Spaces and Weyl Anomalies
154,1992,B377,Nucl.Phys.,Bouwknegt & McCarthy & Pilch,Ground ring for the 2D NSR string
155,1992,B384,Nucl.Phys.,Alford & Lee & March-Russell & Preskill,Quantum Field Theory of Nonabelian Strings and Vortices
156,1992,B386,Nucl.Phys.,Bucher & Lo & Preskill,Topological Approach to Alice Electrodynamics
157,1992,B386,Nucl.Phys.,Bucher & Lee & Preskill,On Detecting Discrete Cheshire Charge
158,1992,B277,Phys.Lett.,Gasperini & Veneziano,"$O(d,d)$-Covariant String Cosmology"
159,1992,A7,Int. J. Mod. Phys.,Lechtenfeld,Semiclassical Approach to Finite-N Matrix Models
160,1992,B372,Nucl. Phys.,Kreuzer & Schimmrigk & Skarke,Abelian Landau--Ginzburg Orbifolds and Mirror Symmetry
161,1991,B257,Phys.Lett.,Zinn-Justin,$O(N)$ Vector Field Theories in the Double Scaling Limit
162,1992,B278,Phys.Lett.,Ferrara & Louis,Flat Holomorphic Connections and Picard-Fuchs Identities From $N=2$  Supergravity
163,1992,B379,Nucl. Phys.,Labastida & Llatas,Topological Matter in Two Dimensions
164,1992,B279,Phys. Lett.,Systems,C.S.Xiong
165,1992,B285,Phys.Lett.,Ahn & Shigemoto,One-Point Functions of Loops and Constraints Equations of the  Multi-Matrix Models at finite N
166,1992,B376,Nucl. Phys.,Space,I.Kostov
167,1992,B381,Nucl. Phys.,de Boer & Goeree,W Gravity From Chern--Simons Theory
168,1992,B380,Nucl. Phys.,Danielsson,Symmetries and Special States in Two Dimensional String Theory
169,1992,B278,Phys.Lett.,Ellis & Mavromatos & Nanopoulos,Quantum Mechanics and Black Holes in Four-Dimensional String Theory
170,1992,A7,Mod. Phys. Lett.,Francesco & Mathieu & Senechal,Integrability of the quantum KdV equation at c = -2
171,1993,A8,Int. J. Mod. Phys.,Blau & Thompson,Topological gauge theories from supersymmetric quantum mechanics on  spaces of connections
172,1992,D45,Phys.Rev.,Dowker & Gregory & Traschen,Euclidean Black Hole Vortices
173,1992,B380,Nucl.Phys.,Giveon & Rocek,Generalized Duality in Curved String-Backgrounds
174,1992,B382,Nucl. Phys.,Ooguri,Partition Functions and Topology-Changing Amplitudes in the 3D Lattice  Gravity of Ponzano and Regge
175,1992,B6,Int.J.Mod.Phys.,Fucito & Gamba & Martellini & Ragnisco,Non-linear WKB Analysis of the String Equation
176,1992,B379,Nucl. Phys.,Berkovits,"The Heterotic Green-Schwarz Superstring on an N=(2,0) Super-Worldsheet"
177,1992,A7,Mod. Phys. Lett.,Klebanov,Ward Identities in Two-Dimensional String Theory
178,1992,B279,Phys. Lett.,Bernard,On Symmetries of Some Massless 2D Field Theories
179,1992,B381,Nucl.Phys.,Cvetic & Griffies & Rey,Static Domain Walls in N=1 Supergravity
180,1992,B282,Phys.Lett.,Matsuda,Coulomb Gas Representations and Screening Operators of the N=4  Superconformal Algebras
181,1992,B278,Phys. Lett.,Silverstein,Large-Small Equivalence in String Theory
182,1992,B274,Phys. Lett.,Marshakov & Mironov & Morozov,On Equivalence of Topological and Quantum 2d Gravity
183,1992,A7,Int. J. Mod. Phys.,Mironov & Zabrodin,The Asymptotics of the Correlations Functions in $(1+1)d$ Quantum Field  Theory From Finite Size Effects in Conformal Theories
184,1992,B380,Nucl. Phys.,Kharchev & Marshakov & Mironov & Morozov & Zabrodin,Towards unified theory of $2d$ gravity
185,1992,A7,Mod.Phys.Lett.,Kar & Khastgir & Kumar,An Algorithm to Generate Classical Solutions for String Effective Action
186,1992,B279,Phys.Lett.,Castellani,Bicovariant Differential Calculus on the Quantum D=2 Poincare Group
187,1992,D45,Phys.Rev.,Seiberg & Shenker,A Note on Background (In)dependence
188,1992,B279,Phys. Lett.,Dixon & Duff & Sezgin,The Coupling of Yang-Mills to Extended Objects
189,1992,B368,Nucl. Phys.,Galperin & Stelle,The Superparticle and the Lorentz Group
190,1992,B382,Nucl.Phys.,Russo & Tseytlin,Scalar-Tensor Quantum Gravity in Two Dimensions
191,1992,B293,Phys.Lett.,Aratyn & Ferreira & Gomes & Zimerman,A New Deformation of W-Infinity and Applications to the Two-loop WZNW  and Conformal Affine Toda Models
192,1992,B282,Phys. Lett.,Isidro & Labastida & Ramallo,Coset Constructions in Chern-Simons Gauge Theory
193,1992,D46,Phys.Rev.,Gannon & Lam,Can a Lattice String Have a Vanishing Cosmological Constant?
194,1992,B282,Phys. Lett.,Kallosh,Supersymmetric Black Holes
195,1992,A7,Int.J.Mod.Phys.,Ferreira & Gomes & Ricotta & Zimerman,Supersymmetric Construction of W-Algebras from Super Toda and Wznw  Theories
196,1992,B279,Phys. Lett.,~Ruiz--Altaba,New Solutions to the Yang--Baxter Equation from Two--Dimensional  Representations of $U_q(sl(2))$ at Roots of Unit
197,1992,B277,Phys. Lett.,Martins,The thermodynamic Bethe ansatz for deformed W$A_{N-1}$ conformal field  theories
198,1992,A7,Mod.Phys.Lett.,Chekhov & Makeenko,The Multicritical Kontsevich-Penner Model
199,1992,B379,Nucl.Phys.,Babelon & Talon,Separation of variables for the classical and quantum Neumann model
200,1993,B393,Nucl. Phys.,Spiegelglas & Yankielowicz,$G/G$--Topological Field Theories by Cosetting $G_k$
201,1993,B393,Nucl. Phys.,14p,Exact Bosonic and Supersymmetric String Black Hole Solutions
202,1992,B276,Phys. Lett.,Carlini & Martellini,Stabilizing the gravitational action and Coleman's solution to the  cosmological constant problem
203,1992,B280,Phys. Lett.,Osorio & Vazquez-Mozo,Strings below the Planck scale
204,1993,D47,Phys.Rev.,Khuri & La,String Motion in Fivebrane Geometry
205,1992,A7,Int. J. Mod. Phys.,Balachandran & Bimonte & Gupta & Stern,The Chern-Simons Source as a Conformal Family and Its Vertex Operators
206,1992,B382,Nucl.Phys.,Smith,Light-Cone Gauge for 1+1 Strings
207,1992,B385,Nucl. Phys.,Lu & Pope & Schrans & Xu,The Complete Spectrum of the $W_N$ String
208,1992,B284,Phys.Lett.,Maharana & mukherji,Gauge Transformations in String Field Theory and canonical  Transformation in String Theory
209,1992,B281,Phys. Lett.,de Alwis,Comments on No-Hair Theorems and Stabilty of Blackholes
210,1992,B282,Phys. Lett.,Green,Temperature Dependence of String Theory in the Presence of World-Sheet  Boundaries
211,1992,B377,Nucl.Phys.,Witten & Zwiebach,Algebraic Structures and Differential Geometry in 2D String Theory
212,1992,B378,Nucl.Phys.,Coleman & Preskill & Wilczek,Quantum Hair on Black Holes
213,1992,A7,Int.J.Mod.Phys.,Lina & Panigrahi,Lax Pair Formulation of the W-gravity Theories in two Dimensions
214,1992,D45,Phys.Rev.,Banks & Dabolkhar & Douglas & Loughlin,Are Horned Particles the Climax of Hawking Evaporation?
215,1992,A7,Int. J. Mod. Phys.,Bimonte & Salomonson & Simoni & Stern,Poisson bracket algebra for chiral group elements in the WZNW model
216,1993,B395,Nucl. Phys.,Matsumura & Sakai & Tanii,Coupling of Tachyons and Discrete States in $c = 1$ 2-D Gravity
217,1992,B382,Nucl.Phys.,Delius & Grisaru & Zanon,Exact S-Matrices for Nonsimply-Laced Affine Toda Theories
218,1992,A7,Mod. Phys. Lett.,Martellini & Spreafico & Yoshida,On the Black-Hole Conformal Field Theory Coupled to the Polyakov's  String Theory. A Non Perturbative Analysis
219,1992,A7,Mod. Phys. Lett.,Martellini & Spreafico & Yoshida,A continuum string model for $D>1$
220,1992,B283,Phys.Lett.,Chair & Dobrev & Kanno,"SO(2,C) invariant ring structure of BRST cohomology and singular vectors  in 2D gravity with c < 1 matter"
221,1992,A7,Mod. Phys. Lett.,Kachru,Quantum Rings and Recursion Relations in 2D Quantum Gravity
222,1992,B292,Phys.Lett.,Russo & Susskind & Thorlacius,Black Hole Evaporation in 1+1 Dimensions
223,1992,B377,Nucl. Phys.,Amano & Higuchi,"Topology change in ISO(2,1) Chern-Simons gravity"
224,1992,B381,Nucl. Phys.,Doyle,Dilaton Contact Terms in the Bosonic and Heterotic Strings
225,1993,B394,Nucl.Phys.,Furlan & Ganchev & Paunov & Petkova,Solutions of the Knizhnik - Zamolodchikov Equation with Rational  Isospins and the Reduction to the Minimal Models
226,1993,D47,Phys.Rev.,Chung & Tye,Chiral Gauged WZW Theories and Coset Models in Conformal Field Theory
227,1992,B282,Phys. Lett.,Kamionkowski & March-Russell,Planck-Scale Physics and the Peccei-Quinn Mechanism
228,1992,D46,Phys.Rev.,Giddings & Strominger,Dynamics of Extremal Black Holes
229,1995,D51,Phys.Rev.,Gershon,Exact Solutions of Four Dimensional Black Holes in String Theory
230,1992,B278,Phys.Lett.,Chekhov & Makeenko,A Hint on the External Field Problem for Matrix Models
231,1993,B391,Nucl. Phys.,Argyres & Grochocinski & Tye,Construction of the K=8 Fractional Superconformal Algebras
232,1992,B386,Nucl. Phys.,Horava,Two Dimensional String Theory and the Topological Torus
233,1992,B6,Int. J. Mod. Phys.,Nagao,Toward a Conformal Field Theory for the Quantum Hall Effect
234,1992,B380,Nucl.Phys.,Fendley & Intriligator,Scattering and Thermodynamics of Integrable N=2 Theories
235,1992,B388,Nucl. Phys.,Iso & Karabali & Sakita,One-Dimensional Fermions as Two-Dimensional Droplets Via Chern-Simons  Theory
236,1992,A7,Mod.Phys.Lett.,Spiridonov,Deformed Conformal and Supersymmetric Quantum Mechanics
237,1992,B380,Nucl.Phys.,Holzhey & Wilczek,Black Holes as Elementary Particles
238,1992,A7,Mod. Phys. Lett.,Zwiebach,Interpolating String Field Theories
239,1992,A7,Int.J.Mod.Phys.,Linden & Perry,Path Intergals and Perturbative Expansions for Non-Compact Symmetric  Spaces
240,1992,B385,Nucl.Phys.,Bruegmann & Gambini & Pullin,Jones Polynomials for Intersecting Knots as Physical States of Quantum  Gravity
241,1993,B391,Nucl.Phys.,Ben-Menahem,D=0 Matrix Model as Conjugate Field Theory
242,1992,B381,Nucl. Phys.,Verlinde,The Master Equation of 2D String Theory
243,1993,B396,Nucl. Phys.,Ting & Lai,Spinning Braid Group Representation and the Fractional Quantum Hall  Effect
244,1992,A7,Int. J. Mod. Phys.,Holten,BRST Field Theory of Relativistic Particles
245,1992,A7,Mod. Phys. Lett.,Ferretti & Rajeev,$CP^N$ Model With a Chern-Simons Term
246,1992,B294,Phys.Lett.,Ahn,RG Flows of Non-Unitary Minimal CFTs
247,1992,D46,Phys. Rev.,Wiltshire,Black Holes in Higher Derivative Gravity Theories
248,1992,B292,Phys. Lett.,Papadopoulos & Spence,The Canonical Structure of Wess-Zumino-Witten Models
249,1992,B382,Nucl. Phys.,Klassen & Melzer,Kinks in Finite Volume
250,1992,B282,Phys. Lett.,Bilal,"Remarks on the BRST-cohomology for $c_M > 1$ matter coupled to  ``Liouville gravity"""
251,1992,B377,Nucl. Phys.,Cugliandolo & Schaposnik & Vucetich,A Topological Model for Two Dimensional Gravity Coupled to Matter
252,1992,B282,Phys. Lett.,Figueroa-O'Farrill & Ramos,The Classical Limit of W-Algebras
253,1992,D45,Phys.Rev.,Girotti & Gomes & Rivelles,Chiral Bosons Through Linear Constraints
254,1992,B297,Phys.Lett.,Lahiri,An Alternative Scenario for Non-Abelian Quantum Hair
